都道府県,指揮支援部隊,大阪府大隊（陸上）,大阪府大隊（航空）
岡山県（岡山市）,統括指揮支援隊指定順位第２位に該当、（広島市が対応できない場合出動準備及び長官の要請に基づき必要な隊が迅速出動）、※指揮支援隊該当なし,統合機動部隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備都道府県大隊に該当）,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
広島県（広島市）,該当なし,統合機動部隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備都道府県大隊に該当）,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
山口県,該当なし,該当なし,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
徳島県,統括指揮支援隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（統括指揮支援隊指定順位第１位に該当）、※指揮支援隊該当なし,統合機動部隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備都道府県大隊に該当）,出動準備及び長官の要請に基づき必要な隊が迅速出動、（統括指揮支援隊輸送航空小隊に該当）
香川県,統括指揮支援隊指定順位第２位に該当、（広島市が対応できない場合出動準備及び長官の要請に基づき必要な隊が迅速出動）、※指揮支援隊該当なし,統合機動部隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備都道府県大隊に該当）,出動準備及び長官の要請に基づき必要な隊が迅速出動、（第１次出動航空小隊に該当）
愛媛県,該当なし,統合機動部隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備都道府県大隊に該当）,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
高知県,統括指揮支援隊指定順位第２位に該当、（広島市が対応できない場合出動準備及び長官の要請に基づき必要な隊が迅速出動）、※指揮支援隊該当なし,統合機動部隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備都道府県大隊に該当）,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
福岡県（北九州市、福岡市）,該当なし,該当なし,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
佐賀県,該当なし,該当なし,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
長崎県,該当なし,該当なし,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
熊本県（熊本市）,該当なし,該当なし,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
大分県,該当なし,該当なし,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
宮崎県,該当なし,該当なし,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
鹿児島県,該当なし,該当なし,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
沖縄県,該当なし,該当なし,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
